Date,BAC,National,Diamond,GPP_prediction
2/6/2019,5.985884235,NA,0.357955567,1.067246143
2/7/2019,1.84447219,0.88506657,0.323285707,0
2/8/2019,2.891848913,0.849126709,0.411905425,0
2/9/2019,2.514059338,NA,0.376298579,0
2/10/2019,2.136269762,NA,0.340691733,0
2/11/2019,1.758480187,0.603056462,0.421976624,0
2/12/2019,1.380690611,1.396016734,0.503261515,0
2/13/2019,1.039246388,0.771681297,0.431797041,0
2/14/2019,0.697802164,0.838162254,0.360332568,0
2/15/2019,0.945360255,0.600587138,0.288868094,0
2/16/2019,0.358947954,0.344033036,0.417209774,0
2/17/2019,0.765369285,NA,0.540327574,0
2/18/2019,0.609278607,1.858867311,0.648035661,0
2/19/2019,0.765304456,NA,0.755743747,0
2/20/2019,0.921330306,1.364678823,0.875399824,0
2/21/2019,1.077356155,20.19630908,0.537086947,5.222553372
2/22/2019,1.233382005,0.149059012,1.518141288,0
2/23/2019,1.389407854,2.040979313,0.63233384,0
2/24/2019,20.1094587,2.345037488,1.588178087,5.966527403
2/25/2019,13.56859663,NA,0.935408659,5.147328887
2/26/2019,7.02773456,0.49590282,0.782194481,0.720913265
2/27/2019,0.48687249,1.015797642,0.742812789,0
2/28/2019,1.571972233,0.859396355,0.703431098,0
3/1/2019,2.657071976,1.297450376,0.664049406,0
3/2/2019,2.536735664,NA,0.536767976,0
3/3/2019,0.872958533,NA,0.807100767,0
3/4/2019,1.676569097,NA,0.937098493,0
3/5/2019,2.48017966,1.864807992,1.067096218,0
3/6/2019,1.718781217,NA,0.857751559,0
3/7/2019,0.957382774,1.449313476,0.737017614,0
3/8/2019,1.292467276,NA,0.592683911,0
3/9/2019,2.085141857,NA,1.308816242,0
3/10/2019,1.355889588,0.735811228,0.549425706,0
3/11/2019,0.774733097,1.779444926,0.659308553,0
3/12/2019,1.915586804,NA,0.841318821,0
3/13/2019,2.153739879,NA,0.87933663,0
3/14/2019,2.391892953,1.648599602,0.917354439,0
3/15/2019,2.974531345,1.859237376,1.674035705,0.121570786
3/16/2019,1.477591538,1.471551028,1.37090001,0
3/17/2019,1.057247159,1.257269616,1.607845926,0
3/18/2019,1.079599406,0.893763969,0.914128795,0
3/19/2019,1.844096013,1.919110298,0.618780828,0
3/20/2019,2.760199786,NA,1.418036445,0
3/21/2019,0.642946261,NA,0.775580608,0
3/22/2019,1.031460536,NA,0.659547334,0
3/23/2019,0.921721164,2.081561368,0.690020614,0
